

# Contour value=0.67 
mZp_GeV,xsecXBR_pb
3.8693e+03,1.3515e+01
3.8543e+03,1.2135e+01
3.8398e+03,1.0812e+01
4.9761e+03,1.7150e+01
4.9698e+03,1.7030e+01
4.9548e+03,1.6742e+01
4.9397e+03,1.6453e+01
4.9246e+03,1.6165e+01
4.9095e+03,1.5877e+01
4.8945e+03,1.5588e+01
4.8794e+03,1.5366e+01
4.8643e+03,1.5299e+01
4.8492e+03,1.5299e+01
4.8342e+03,1.5299e+01
4.8191e+03,1.5300e+01
4.8040e+03,1.5300e+01
4.7889e+03,1.5300e+01
4.7739e+03,1.5300e+01
4.7588e+03,1.5300e+01
4.7437e+03,1.5300e+01
4.7286e+03,1.5300e+01
4.7136e+03,1.5300e+01
4.6985e+03,1.5300e+01
4.6834e+03,1.4937e+01
4.6683e+03,1.2094e+01
4.6634e+03,1.0812e+01
