Analysis,r_value,mZp_GeV,xsecXBR_pb
ATLAS-EXOT-2018-48,0.6666666666666666,3344.2211055276384,-2.3787612582521866
ATLAS-EXOT-2018-48,0.6666666666666666,3331.6582914572864,-2.3702025716204806
ATLAS-EXOT-2018-48,0.6666666666666666,3322.115412176344,-2.364257192981337
ATLAS-EXOT-2018-48,0.6666666666666666,3319.095477386935,-2.362418126529298
ATLAS-EXOT-2018-48,0.6666666666666666,3306.5326633165832,-2.354548871259718
ATLAS-EXOT-2018-48,0.6666666666666666,3293.9698492462317,-2.3488068760962095
ATLAS-EXOT-2018-48,0.6666666666666666,3281.4070351758796,-2.3451699224700886
ATLAS-EXOT-2018-48,0.6666666666666666,3275.161574346712,-2.342828213514828
ATLAS-EXOT-2018-48,0.6666666666666666,3268.8442211055276,-2.340291764731561
ATLAS-EXOT-2018-48,0.6666666666666666,3256.281407035176,-2.3352477456981053
ATLAS-EXOT-2018-48,0.6666666666666666,3243.718592964824,-2.3302037444595194
ATLAS-EXOT-2018-48,0.6666666666666666,3231.155778894473,-2.3251597610157093
ATLAS-EXOT-2018-48,0.6666666666666666,3221.7895811088824,-2.3213992340483194
ATLAS-EXOT-2018-48,0.6666666666666666,3218.592964824121,-2.320441857253311
ATLAS-EXOT-2018-48,0.6666666666666666,3206.030150753769,-2.3166793328839375
ATLAS-EXOT-2018-48,0.6666666666666666,3193.467336683417,-2.3144862888023656
ATLAS-EXOT-2018-48,0.6666666666666666,3180.9045226130656,-2.313741995755687
ATLAS-EXOT-2018-48,0.6666666666666666,3168.3417085427136,-2.312997702709009
ATLAS-EXOT-2018-48,0.6666666666666666,3155.7788944723616,-2.3122534096623304
ATLAS-EXOT-2018-48,0.6666666666666666,3143.2160804020104,-2.3115091166156523
ATLAS-EXOT-2018-48,0.6666666666666666,3130.6532663316584,-2.3107648235689737
ATLAS-EXOT-2018-48,0.6666666666666666,3118.0904522613064,-2.310020530522295
ATLAS-EXOT-2018-48,0.6666666666666666,3105.5276381909543,-2.309145612324948
ATLAS-EXOT-2018-48,0.6666666666666666,3092.964824120603,-2.309468723284351
ATLAS-EXOT-2018-48,0.6666666666666666,3080.402010050251,-2.3107214758304377
ATLAS-EXOT-2018-48,0.6666666666666666,3067.8391959798996,-2.311932910803429
ATLAS-EXOT-2018-48,0.6666666666666666,3055.276381909548,-2.312984779368304
ATLAS-EXOT-2018-48,0.6666666666666666,3042.713567839196,-2.3140181020624953
ATLAS-EXOT-2018-48,0.6666666666666666,3030.150753768844,-2.315051424756687
ATLAS-EXOT-2018-48,0.6666666666666666,3017.5879396984924,-2.3160847474508786
ATLAS-EXOT-2018-48,0.6666666666666666,3005.025125628141,-2.31711807014507
ATLAS-EXOT-2018-48,0.6666666666666666,2992.462311557789,-2.318151392839262
ATLAS-EXOT-2018-48,0.6666666666666666,2979.8994974874367,-2.3191847155334537
ATLAS-EXOT-2018-48,0.6666666666666666,2967.3366834170856,-2.320218038227645
ATLAS-EXOT-2018-48,0.6666666666666666,2954.7738693467336,-2.321251360921837
ATLAS-EXOT-2018-48,0.6666666666666666,2952.976074132861,-2.3213992340483194
ATLAS-EXOT-2018-48,0.6666666666666666,2942.2110552763825,-2.3226408242479093
ATLAS-EXOT-2018-48,0.6666666666666666,2929.6482412060304,-2.324075476299066
ATLAS-EXOT-2018-48,0.6666666666666666,2917.0854271356784,-2.325447444689412
ATLAS-EXOT-2018-48,0.6666666666666666,2904.522613065327,-2.3267740100139083
ATLAS-EXOT-2018-48,0.6666666666666666,2891.959798994975,-2.3271708306877428
ATLAS-EXOT-2018-48,0.6666666666666666,2879.396984924623,-2.3270611119063336
ATLAS-EXOT-2018-48,0.6666666666666666,2866.834170854271,-2.3269510863800207
ATLAS-EXOT-2018-48,0.6666666666666666,2854.2713567839196,-2.3268333648395583
ATLAS-EXOT-2018-48,0.6666666666666666,2841.708542713568,-2.326715408904751
ATLAS-EXOT-2018-48,0.6666666666666666,2829.145728643216,-2.326597453462656
ATLAS-EXOT-2018-48,0.6666666666666666,2816.5829145728644,-2.32647949851327
ATLAS-EXOT-2018-48,0.6666666666666666,2804.0201005025133,-2.3263615440565903
ATLAS-EXOT-2018-48,0.6666666666666666,2791.457286432161,-2.3262435900926146
ATLAS-EXOT-2018-48,0.6666666666666666,2778.894472361809,-2.326125636621338
ATLAS-EXOT-2018-48,0.6666666666666666,2766.331658291457,-2.326007683642759
ATLAS-EXOT-2018-48,0.6666666666666666,2753.7688442211056,-2.3258897311568743
ATLAS-EXOT-2018-48,0.6666666666666666,2741.2060301507536,-2.32577177916368
ATLAS-EXOT-2018-48,0.6666666666666666,2728.643216080402,-2.3256538276631735
ATLAS-EXOT-2018-48,0.6666666666666666,2716.08040201005,-2.3255358766553518
ATLAS-EXOT-2018-48,0.6666666666666666,2703.5175879396984,-2.3254179261402115
ATLAS-EXOT-2018-48,0.6666666666666666,2692.6722601202573,-2.3213992340483194
ATLAS-EXOT-2018-48,0.6666666666666666,2690.954773869347,-2.320897418257398
ATLAS-EXOT-2018-48,0.6666666666666666,2678.3919597989952,-2.3153742660002354
ATLAS-EXOT-2018-48,0.6666666666666666,2665.829145728643,-2.308794654043216
ATLAS-EXOT-2018-48,0.6666666666666666,2653.2663316582916,-2.3008234098832165
ATLAS-EXOT-2018-48,0.6666666666666666,2652.0626608534135,-2.299970254581811
ATLAS-EXOT-2018-48,0.6666666666666666,2640.7035175879396,-2.2941880119161353
ATLAS-EXOT-2018-48,0.6666666666666666,2628.140703517588,-2.2880542627145264
ATLAS-EXOT-2018-48,0.6666666666666666,2615.577889447236,-2.281727585139828
ATLAS-EXOT-2018-48,0.6666666666666666,2609.9656991956235,-2.278541275115302
ATLAS-EXOT-2018-48,0.6666666666666666,2603.015075376885,-2.2750031391257743
ATLAS-EXOT-2018-48,0.6666666666666666,2590.452261306533,-2.2686081815289874
ATLAS-EXOT-2018-48,0.6666666666666666,2577.889447236181,-2.2622132239322
ATLAS-EXOT-2018-48,0.6666666666666666,2567.868737537834,-2.2571122956487932
ATLAS-EXOT-2018-48,0.6666666666666666,2565.326633165829,-2.255818266335413
ATLAS-EXOT-2018-48,0.6666666666666666,2552.7638190954776,-2.2494233087386264
ATLAS-EXOT-2018-48,0.6666666666666666,2540.2010050251256,-2.243028351141839
ATLAS-EXOT-2018-48,0.6666666666666666,2527.638190954774,-2.236633393545052
ATLAS-EXOT-2018-48,0.6666666666666666,2525.771775880045,-2.2356833161822847
ATLAS-EXOT-2018-48,0.6666666666666666,2515.075376884422,-2.230238435948265
ATLAS-EXOT-2018-48,0.6666666666666666,2502.5125628140704,-2.223843478351478
ATLAS-EXOT-2018-48,0.6666666666666666,2489.9497487437184,-2.2174485207546906
ATLAS-EXOT-2018-48,0.6666666666666666,2483.674814222255,-2.2142543367157757
ATLAS-EXOT-2018-48,0.6666666666666666,2477.386934673367,-2.2111066443311893
ATLAS-EXOT-2018-48,0.6666666666666666,2464.824120603015,-2.204817740973315
ATLAS-EXOT-2018-48,0.6666666666666666,2452.261306532663,-2.198528839177552
ATLAS-EXOT-2018-48,0.6666666666666666,2440.8679341578113,-2.192825357249267
ATLAS-EXOT-2018-48,0.6666666666666666,2439.6984924623116,-2.192381567558372
