

# Contour value=0.67 
mPsiT_GeV,deltaM_GeV
1.1849e+03,2.6800e+02
1.1823e+03,2.6608e+02
1.1789e+03,2.6362e+02
1.1755e+03,2.6116e+02
1.1721e+03,2.5869e+02
1.1709e+03,2.5780e+02
1.1687e+03,2.5623e+02
1.1653e+03,2.5377e+02
1.1619e+03,2.5131e+02
1.1590e+03,2.4884e+02
1.1568e+03,2.4649e+02
1.1567e+03,2.4638e+02
1.1544e+03,2.4392e+02
1.1521e+03,2.4146e+02
1.1497e+03,2.3899e+02
1.1474e+03,2.3653e+02
1.1451e+03,2.3407e+02
1.1428e+03,2.3161e+02
1.1427e+03,2.3151e+02
1.1385e+03,2.2915e+02
1.1293e+03,2.2668e+02
1.1286e+03,2.2651e+02
1.1195e+03,2.2422e+02
1.1146e+03,2.2300e+02
1.1096e+03,2.2176e+02
1.1005e+03,2.1949e+02
1.1000e+03,2.1930e+02
1.0940e+03,2.1683e+02
1.0879e+03,2.1437e+02
1.0864e+03,2.1378e+02
1.0820e+03,2.1191e+02
1.0767e+03,2.0945e+02
1.0724e+03,2.0725e+02
1.0719e+03,2.0698e+02
1.0672e+03,2.0452e+02
1.0625e+03,2.0206e+02
1.0583e+03,1.9970e+02
1.0581e+03,1.9960e+02
1.0550e+03,1.9714e+02
1.0519e+03,1.9467e+02
1.0487e+03,1.9221e+02
1.0456e+03,1.8975e+02
1.0442e+03,1.8866e+02
1.0425e+03,1.8729e+02
1.0393e+03,1.8482e+02
1.0346e+03,1.8236e+02
1.0302e+03,1.8066e+02
1.0271e+03,1.7990e+02
1.0172e+03,1.7744e+02
1.0161e+03,1.7717e+02
1.0072e+03,1.7497e+02
1.0020e+03,1.7367e+02
9.9911e+02,1.7251e+02
9.9296e+02,1.7005e+02
9.8794e+02,1.6804e+02
9.8687e+02,1.6759e+02
9.8109e+02,1.6513e+02
9.7531e+02,1.6266e+02
9.7387e+02,1.6205e+02
9.6952e+02,1.6020e+02
9.6374e+02,1.5774e+02
9.5980e+02,1.5606e+02
9.5795e+02,1.5528e+02
9.5217e+02,1.5281e+02
9.4638e+02,1.5035e+02
9.4573e+02,1.4998e+02
9.4199e+02,1.4789e+02
9.3782e+02,1.4543e+02
9.3366e+02,1.4296e+02
9.3166e+02,1.4178e+02
9.2949e+02,1.4050e+02
9.2533e+02,1.3804e+02
9.2116e+02,1.3558e+02
9.1759e+02,1.3347e+02
9.1712e+02,1.3312e+02
9.1422e+02,1.3065e+02
9.1149e+02,1.2819e+02
9.0879e+02,1.2573e+02
9.0613e+02,1.2327e+02
9.0352e+02,1.2082e+02
9.0350e+02,1.2080e+02
8.9989e+02,1.1834e+02
8.9628e+02,1.1588e+02
8.9267e+02,1.1342e+02
8.8945e+02,1.1122e+02
8.8882e+02,1.1095e+02
8.8352e+02,1.0849e+02
8.7909e+02,1.0603e+02
8.7538e+02,1.0359e+02
8.7521e+02,1.0357e+02
8.6131e+02,1.0145e+02
8.6054e+02,1.0111e+02
8.5810e+02,9.8643e+01
8.6131e+02,9.7633e+01
8.6258e+02,9.6181e+01
8.6131e+02,9.4567e+01
8.6013e+02,9.3719e+01
8.5373e+02,9.1256e+01
8.4724e+02,8.8831e+01
8.4077e+02,9.1256e+01
8.3451e+02,9.3719e+01
8.3317e+02,9.3901e+01
8.3204e+02,9.3719e+01
8.2348e+02,9.1256e+01
8.2152e+02,8.8794e+01
8.2038e+02,8.6332e+01
8.1925e+02,8.3869e+01
8.1910e+02,8.3538e+01
8.1682e+02,8.1407e+01
8.0503e+02,7.9268e+01
8.0447e+02,7.8945e+01
8.0108e+02,7.6482e+01
7.9991e+02,7.4020e+01
7.9905e+02,7.1558e+01
7.9813e+02,6.9095e+01
7.9715e+02,6.6633e+01
7.9681e+02,6.4171e+01
7.9761e+02,6.1709e+01
7.9966e+02,5.9246e+01
8.0166e+02,5.6784e+01
8.0360e+02,5.4322e+01
8.0503e+02,5.2305e+01
8.0548e+02,5.1859e+01
8.0716e+02,4.9397e+01
8.0619e+02,4.6935e+01
8.0503e+02,4.5208e+01
8.0469e+02,4.4472e+01
8.0427e+02,4.2010e+01
8.0464e+02,3.9548e+01
8.0503e+02,3.9135e+01
8.0627e+02,3.7085e+01
8.0538e+02,3.4623e+01
8.0503e+02,3.3217e+01
8.0401e+02,3.2161e+01
7.9705e+02,2.9698e+01
7.9095e+02,2.9496e+01
7.8960e+02,2.9698e+01
7.8498e+02,3.2161e+01
7.7688e+02,3.4384e+01
7.7406e+02,3.2161e+01
7.6281e+02,2.9724e+01
7.6270e+02,2.9698e+01
7.5788e+02,2.7236e+01
7.5616e+02,2.4774e+01
7.5008e+02,2.2312e+01
7.4874e+02,2.1940e+01
7.4650e+02,2.2312e+01
7.3788e+02,2.4774e+01
7.3467e+02,2.6981e+01
7.2060e+02,2.5585e+01
7.1784e+02,2.4774e+01
7.0653e+02,2.3485e+01
6.9755e+02,2.2312e+01
6.9246e+02,2.1261e+01
6.7839e+02,1.9886e+01
6.6432e+02,2.1271e+01
6.6009e+02,1.9849e+01
6.5025e+02,1.8419e+01
6.3618e+02,1.9013e+01
6.2211e+02,1.7624e+01
6.1818e+02,1.7387e+01
6.0804e+02,1.6603e+01
6.0198e+02,1.4925e+01
5.9397e+02,1.3790e+01
5.8025e+02,1.4925e+01
5.7990e+02,1.4949e+01
5.6583e+02,1.6322e+01
5.5176e+02,1.6646e+01
5.3769e+02,1.5580e+01
5.3103e+02,1.4925e+01
5.2362e+02,1.4195e+01
5.0955e+02,1.2810e+01
5.0758e+02,1.2462e+01
4.9548e+02,1.1148e+01
4.8444e+02,1.2462e+01
4.8141e+02,1.2758e+01
4.6734e+02,1.3761e+01
4.5922e+02,1.4925e+01
4.5327e+02,1.5356e+01
4.4786e+02,1.4925e+01
4.3920e+02,1.3661e+01
4.2513e+02,1.2971e+01
4.1989e+02,1.2462e+01
4.1106e+02,1.0954e+01
3.9698e+02,1.1550e+01
3.8291e+02,1.1480e+01
3.7625e+02,1.2462e+01
3.6884e+02,1.2963e+01
3.5477e+02,1.4261e+01
3.4070e+02,1.4406e+01
3.2663e+02,1.3352e+01
3.1570e+02,1.2462e+01
3.1256e+02,1.2032e+01
3.0888e+02,1.2462e+01
3.0022e+02,1.4925e+01
2.9849e+02,1.4945e+01
2.9805e+02,1.4925e+01
2.8442e+02,1.2857e+01
2.7035e+02,1.2898e+01
2.5628e+02,1.3739e+01
2.4221e+02,1.2798e+01
2.3872e+02,1.2462e+01
2.2814e+02,1.0668e+01
2.1789e+02,1.2462e+01
2.1809e+02,1.4925e+01
2.1809e+02,1.7387e+01
2.1809e+02,1.9849e+01
2.1809e+02,2.2312e+01
2.1809e+02,2.4774e+01
2.1809e+02,2.7236e+01
2.1809e+02,2.9698e+01
2.1809e+02,3.2161e+01
2.1809e+02,3.4623e+01
2.1809e+02,3.7085e+01
2.1809e+02,3.9548e+01
2.1809e+02,4.2010e+01
2.1809e+02,4.4472e+01
2.1809e+02,4.6935e+01
2.2030e+02,4.9397e+01
2.2204e+02,5.1859e+01
2.1822e+02,5.4322e+01
2.1407e+02,5.5870e+01
2.0885e+02,5.6784e+01
2.0438e+02,5.9246e+01
2.0000e+02,6.0860e+01
8.4517e+02,2.7236e+01
8.4574e+02,2.9698e+01
8.4663e+02,3.2161e+01
8.4724e+02,3.3310e+01
8.4844e+02,3.2161e+01
8.4893e+02,2.9698e+01
8.4961e+02,2.7236e+01
8.4724e+02,2.6383e+01
8.4517e+02,2.7236e+01
