

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
1.2189e+03,4.1950e+02
1.2191e+03,4.2020e+02
1.2197e+03,4.2244e+02
1.2205e+03,4.2538e+02
1.2213e+03,4.2832e+02
1.2221e+03,4.3126e+02
1.2230e+03,4.3420e+02
1.2238e+03,4.3714e+02
1.2206e+03,4.4008e+02
1.2191e+03,4.4123e+02
1.2165e+03,4.4302e+02
1.2127e+03,4.4595e+02
1.2126e+03,4.4608e+02
1.2086e+03,4.4889e+02
1.2060e+03,4.5067e+02
1.2042e+03,4.5183e+02
1.1997e+03,4.5477e+02
1.1995e+03,4.5491e+02
1.1930e+03,4.5598e+02
1.1864e+03,4.5700e+02
1.1811e+03,4.5771e+02
1.1799e+03,4.5788e+02
1.1734e+03,4.5868e+02
1.1668e+03,4.5948e+02
1.1603e+03,4.6027e+02
1.1572e+03,4.6065e+02
1.1538e+03,4.6107e+02
1.1472e+03,4.6187e+02
1.1407e+03,4.6266e+02
1.1342e+03,4.6346e+02
1.1331e+03,4.6359e+02
1.1276e+03,4.6426e+02
1.1211e+03,4.6506e+02
1.1146e+03,4.6585e+02
1.1090e+03,4.6653e+02
1.1080e+03,4.6665e+02
1.1015e+03,4.6745e+02
1.0950e+03,4.6859e+02
1.0904e+03,4.6947e+02
1.0884e+03,4.6984e+02
1.0819e+03,4.7109e+02
1.0754e+03,4.7234e+02
1.0750e+03,4.7241e+02
1.0688e+03,4.7359e+02
1.0623e+03,4.7484e+02
1.0597e+03,4.7535e+02
1.0558e+03,4.7609e+02
1.0492e+03,4.7734e+02
1.0434e+03,4.7535e+02
1.0438e+03,4.7241e+02
1.0443e+03,4.6947e+02
1.0447e+03,4.6653e+02
1.0451e+03,4.6359e+02
1.0456e+03,4.6065e+02
1.0460e+03,4.5771e+02
1.0465e+03,4.5477e+02
1.0469e+03,4.5183e+02
1.0445e+03,4.4889e+02
1.0427e+03,4.4813e+02
1.0375e+03,4.4595e+02
1.0362e+03,4.4542e+02
1.0304e+03,4.4302e+02
1.0296e+03,4.4272e+02
1.0233e+03,4.4008e+02
1.0231e+03,4.4001e+02
1.0166e+03,4.3730e+02
1.0162e+03,4.3714e+02
1.0101e+03,4.3459e+02
1.0091e+03,4.3420e+02
1.0035e+03,4.3188e+02
9.9808e+02,4.3126e+02
9.9698e+02,4.3113e+02
9.9646e+02,4.3126e+02
9.9045e+02,4.3267e+02
9.8400e+02,4.3420e+02
9.8392e+02,4.3422e+02
9.7739e+02,4.3576e+02
9.7155e+02,4.3714e+02
9.7085e+02,4.3730e+02
9.6432e+02,4.3884e+02
9.5910e+02,4.4008e+02
9.5779e+02,4.4038e+02
9.5126e+02,4.4193e+02
9.4664e+02,4.4302e+02
9.4472e+02,4.4347e+02
9.3819e+02,4.4501e+02
9.3419e+02,4.4595e+02
9.3166e+02,4.4655e+02
9.2513e+02,4.4809e+02
9.2174e+02,4.4889e+02
9.1859e+02,4.5106e+02
9.1747e+02,4.5183e+02
9.1813e+02,4.5477e+02
9.1859e+02,4.5683e+02
9.1879e+02,4.5771e+02
9.1945e+02,4.6065e+02
9.2012e+02,4.6359e+02
9.2078e+02,4.6653e+02
9.2144e+02,4.6947e+02
9.2210e+02,4.7241e+02
9.2277e+02,4.7535e+02
9.2343e+02,4.7829e+02
9.2409e+02,4.8123e+02
9.2475e+02,4.8417e+02
9.2513e+02,4.8582e+02
9.2542e+02,4.8711e+02
9.2621e+02,4.9005e+02
9.2701e+02,4.9299e+02
9.2782e+02,4.9593e+02
9.2862e+02,4.9887e+02
9.2891e+02,5.0181e+02
9.2888e+02,5.0475e+02
9.2886e+02,5.0769e+02
9.2883e+02,5.1063e+02
9.2880e+02,5.1357e+02
9.2870e+02,5.1651e+02
9.2833e+02,5.1945e+02
9.2795e+02,5.2239e+02
9.2757e+02,5.2533e+02
9.2718e+02,5.2827e+02
9.2685e+02,5.3121e+02
9.2710e+02,5.3415e+02
9.2739e+02,5.3709e+02
9.2769e+02,5.4003e+02
9.2747e+02,5.4296e+02
9.2705e+02,5.4590e+02
9.2671e+02,5.4884e+02
9.2658e+02,5.5178e+02
9.2655e+02,5.5472e+02
9.2479e+02,2.4899e+02
9.2513e+02,2.4726e+02
9.2536e+02,2.4606e+02
9.2593e+02,2.4312e+02
9.2650e+02,2.4018e+02
9.2707e+02,2.3724e+02
9.2764e+02,2.3430e+02
9.2821e+02,2.3136e+02
9.2878e+02,2.2842e+02
9.2935e+02,2.2548e+02
9.2992e+02,2.2254e+02
9.3049e+02,2.1960e+02
9.3106e+02,2.1666e+02
9.3166e+02,2.1644e+02
9.3354e+02,2.1666e+02
9.3819e+02,2.1713e+02
9.4472e+02,2.1839e+02
9.5059e+02,2.1960e+02
9.5126e+02,2.1973e+02
9.5779e+02,2.2108e+02
9.6432e+02,2.2242e+02
9.6492e+02,2.2254e+02
9.7085e+02,2.2376e+02
9.7739e+02,2.2510e+02
9.7924e+02,2.2548e+02
9.8392e+02,2.2644e+02
9.9045e+02,2.2778e+02
9.9356e+02,2.2842e+02
9.9698e+02,2.2912e+02
1.0035e+03,2.3014e+02
1.0101e+03,2.3090e+02
1.0140e+03,2.3136e+02
1.0166e+03,2.3165e+02
1.0231e+03,2.3241e+02
1.0296e+03,2.3316e+02
1.0362e+03,2.3392e+02
1.0395e+03,2.3430e+02
1.0427e+03,2.3467e+02
1.0492e+03,2.3543e+02
1.0558e+03,2.3618e+02
1.0623e+03,2.3694e+02
1.0649e+03,2.3724e+02
1.0688e+03,2.3769e+02
1.0754e+03,2.3849e+02
1.0819e+03,2.3946e+02
1.0860e+03,2.4018e+02
1.0884e+03,2.4060e+02
1.0950e+03,2.4173e+02
1.1015e+03,2.4208e+02
1.1071e+03,2.4018e+02
1.1080e+03,2.3984e+02
1.1146e+03,2.3759e+02
1.1156e+03,2.3724e+02
1.1211e+03,2.3535e+02
1.1242e+03,2.3430e+02
1.1276e+03,2.3311e+02
1.1327e+03,2.3136e+02
1.1342e+03,2.3086e+02
1.1370e+03,2.3136e+02
1.1352e+03,2.3430e+02
1.1342e+03,2.3500e+02
1.1308e+03,2.3724e+02
1.1276e+03,2.3931e+02
1.1263e+03,2.4018e+02
1.1219e+03,2.4312e+02
1.1211e+03,2.4362e+02
1.1174e+03,2.4606e+02
1.1146e+03,2.4793e+02
1.1130e+03,2.4899e+02
1.1146e+03,2.5152e+02
1.1148e+03,2.5193e+02
1.1200e+03,2.5487e+02
1.1211e+03,2.5550e+02
1.1252e+03,2.5781e+02
1.1276e+03,2.5921e+02
1.1304e+03,2.6075e+02
1.1342e+03,2.6292e+02
1.1355e+03,2.6369e+02
1.1407e+03,2.6663e+02
1.1407e+03,2.6663e+02
1.1459e+03,2.6957e+02
1.1472e+03,2.7035e+02
1.1510e+03,2.7251e+02
1.1538e+03,2.7406e+02
1.1562e+03,2.7545e+02
1.1603e+03,2.7777e+02
1.1614e+03,2.7839e+02
1.1662e+03,2.8133e+02
1.1668e+03,2.8165e+02
1.1706e+03,2.8427e+02
1.1734e+03,2.8564e+02
1.1759e+03,2.8721e+02
1.1734e+03,2.8856e+02
1.1701e+03,2.8721e+02
1.1668e+03,2.8585e+02
1.1630e+03,2.8427e+02
1.1603e+03,2.8315e+02
1.1559e+03,2.8133e+02
1.1538e+03,2.8044e+02
1.1488e+03,2.7839e+02
1.1472e+03,2.7774e+02
1.1417e+03,2.7545e+02
1.1407e+03,2.7504e+02
1.1346e+03,2.7251e+02
1.1342e+03,2.7233e+02
1.1276e+03,2.6963e+02
1.1275e+03,2.6957e+02
1.1211e+03,2.6692e+02
1.1204e+03,2.6663e+02
1.1146e+03,2.6422e+02
1.1133e+03,2.6369e+02
1.1080e+03,2.6152e+02
1.1062e+03,2.6075e+02
1.1015e+03,2.5881e+02
1.0950e+03,2.5914e+02
1.0884e+03,2.6037e+02
1.0864e+03,2.6075e+02
1.0819e+03,2.6161e+02
1.0754e+03,2.6276e+02
1.0694e+03,2.6369e+02
1.0688e+03,2.6378e+02
1.0623e+03,2.6463e+02
1.0558e+03,2.6548e+02
1.0492e+03,2.6632e+02
1.0468e+03,2.6663e+02
1.0427e+03,2.6717e+02
1.0362e+03,2.6801e+02
1.0296e+03,2.6886e+02
1.0241e+03,2.6957e+02
1.0231e+03,2.6970e+02
1.0166e+03,2.7055e+02
1.0101e+03,2.7139e+02
1.0035e+03,2.7224e+02
9.9698e+02,2.7179e+02
9.9045e+02,2.6982e+02
9.8963e+02,2.6957e+02
9.8392e+02,2.6786e+02
9.7986e+02,2.6663e+02
9.7739e+02,2.6589e+02
9.7085e+02,2.6392e+02
9.7009e+02,2.6369e+02
9.6432e+02,2.6196e+02
9.6032e+02,2.6075e+02
9.5779e+02,2.5999e+02
9.5126e+02,2.5802e+02
9.5056e+02,2.5781e+02
