

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
1.0325e+03,2.7251e+02
1.0332e+03,2.7545e+02
1.0340e+03,2.7839e+02
1.0347e+03,2.8133e+02
1.0354e+03,2.8427e+02
1.0361e+03,2.8721e+02
1.0368e+03,2.9015e+02
1.0376e+03,2.9309e+02
1.0383e+03,2.9603e+02
1.0390e+03,2.9897e+02
1.0397e+03,3.0191e+02
1.0403e+03,3.0485e+02
1.0410e+03,3.0779e+02
1.0412e+03,3.0880e+02
1.0416e+03,3.1073e+02
1.0423e+03,3.1367e+02
1.0429e+03,3.1661e+02
1.0436e+03,3.1955e+02
1.0445e+03,3.2249e+02
1.0454e+03,3.2543e+02
1.0465e+03,3.2837e+02
1.0476e+03,3.3131e+02
1.0487e+03,3.3425e+02
1.0497e+03,3.3719e+02
1.0503e+03,3.3854e+02
1.0508e+03,3.4013e+02
1.0519e+03,3.4307e+02
1.0530e+03,3.4601e+02
1.0541e+03,3.4894e+02
1.0557e+03,3.5188e+02
1.0576e+03,3.5482e+02
1.0593e+03,3.5736e+02
1.0596e+03,3.5776e+02
1.0615e+03,3.6070e+02
1.0634e+03,3.6364e+02
1.0651e+03,3.6658e+02
1.0659e+03,3.6952e+02
1.0663e+03,3.7246e+02
1.0666e+03,3.7540e+02
1.0669e+03,3.7834e+02
1.0673e+03,3.8128e+02
1.0676e+03,3.8422e+02
1.0679e+03,3.8716e+02
1.0683e+03,3.9010e+02
1.0683e+03,3.9084e+02
1.0686e+03,3.9304e+02
1.0689e+03,3.9598e+02
1.0693e+03,3.9892e+02
1.0699e+03,4.0186e+02
1.0708e+03,4.0480e+02
1.0716e+03,4.0774e+02
1.0725e+03,4.1068e+02
1.0736e+03,4.1362e+02
1.0751e+03,4.1656e+02
1.0767e+03,4.1950e+02
1.0774e+03,4.2065e+02
1.0784e+03,4.2244e+02
1.0800e+03,4.2538e+02
1.0817e+03,4.2832e+02
1.0834e+03,4.3126e+02
1.0850e+03,4.3420e+02
1.0864e+03,4.3673e+02
1.0867e+03,4.3714e+02
1.0883e+03,4.4008e+02
1.0900e+03,4.4302e+02
1.0916e+03,4.4595e+02
1.0933e+03,4.4889e+02
1.0946e+03,4.5183e+02
1.0955e+03,4.5416e+02
1.0957e+03,4.5477e+02
1.0968e+03,4.5771e+02
1.0979e+03,4.6065e+02
1.0990e+03,4.6359e+02
1.1001e+03,4.6653e+02
1.1012e+03,4.6947e+02
1.1023e+03,4.7241e+02
1.1033e+03,4.7535e+02
1.1044e+03,4.7829e+02
1.1045e+03,4.7853e+02
1.1055e+03,4.8123e+02
1.1066e+03,4.8417e+02
1.1076e+03,4.8711e+02
1.1087e+03,4.9005e+02
1.1098e+03,4.9299e+02
1.1108e+03,4.9593e+02
1.1119e+03,4.9887e+02
1.1117e+03,5.0181e+02
1.1106e+03,5.0475e+02
1.1095e+03,5.0769e+02
1.1085e+03,5.1063e+02
1.1068e+03,5.1357e+02
1.1045e+03,5.1444e+02
1.1003e+03,5.1651e+02
1.0955e+03,5.1828e+02
1.0923e+03,5.1945e+02
1.0864e+03,5.2163e+02
1.0844e+03,5.2239e+02
1.0774e+03,5.2498e+02
1.0765e+03,5.2533e+02
1.0685e+03,5.2827e+02
1.0683e+03,5.2832e+02
1.0603e+03,5.3121e+02
1.0593e+03,5.3152e+02
1.0510e+03,5.3415e+02
1.0503e+03,5.3439e+02
1.0417e+03,5.3709e+02
1.0412e+03,5.3726e+02
1.0325e+03,5.4003e+02
1.0322e+03,5.4012e+02
1.0231e+03,5.4296e+02
1.0231e+03,5.4297e+02
1.0141e+03,5.4575e+02
1.0136e+03,5.4590e+02
1.0050e+03,5.4854e+02
1.0040e+03,5.4884e+02
9.9598e+02,5.5083e+02
9.9269e+02,5.5178e+02
9.8693e+02,5.5314e+02
9.8025e+02,5.5472e+02
9.7789e+02,5.5528e+02
9.6884e+02,5.5741e+02
9.6776e+02,5.5766e+02
9.5980e+02,5.5951e+02
9.5517e+02,5.6060e+02
9.5075e+02,5.6153e+02
9.4171e+02,5.6322e+02
9.4019e+02,5.6354e+02
9.3266e+02,5.6550e+02
9.2864e+02,5.6648e+02


# Contour value=12.57 
mPsiT_GeV,deltaM_GeV
1.2117e+03,5.0000e+00
1.2124e+03,7.9397e+00
1.2131e+03,9.2813e+00
1.2139e+03,1.0879e+01
1.2141e+03,1.3819e+01
1.2139e+03,1.6759e+01
1.2136e+03,1.9698e+01
1.2133e+03,2.2638e+01
1.2131e+03,2.5508e+01
1.2131e+03,2.5578e+01
1.2128e+03,2.8518e+01
1.2131e+03,2.9902e+01
1.2134e+03,3.1457e+01
1.2148e+03,3.4397e+01
1.2163e+03,3.7337e+01
1.2177e+03,4.0276e+01
1.2192e+03,4.3216e+01
1.2206e+03,4.6156e+01
1.2221e+03,4.9095e+01
1.2221e+03,4.9131e+01
1.2235e+03,5.2035e+01
1.2243e+03,5.4975e+01
1.2248e+03,5.7915e+01
1.2255e+03,6.0854e+01
1.2265e+03,6.3794e+01
1.2276e+03,6.6734e+01
1.2287e+03,6.9673e+01
1.2297e+03,7.2613e+01
1.2304e+03,7.5553e+01
1.2311e+03,7.8492e+01
1.2312e+03,7.8666e+01
1.2318e+03,8.1432e+01
1.2326e+03,8.4372e+01
1.2333e+03,8.7312e+01
1.2340e+03,9.0251e+01
1.2347e+03,9.3191e+01
1.2354e+03,9.6131e+01
1.2362e+03,9.9070e+01
1.2367e+03,1.0201e+02
1.2371e+03,1.0495e+02
1.2375e+03,1.0789e+02
1.2379e+03,1.1083e+02
1.2383e+03,1.1377e+02
1.2387e+03,1.1671e+02
1.2390e+03,1.1965e+02
1.2387e+03,1.2259e+02
1.2383e+03,1.2553e+02
1.2379e+03,1.2847e+02
1.2375e+03,1.3141e+02
1.2371e+03,1.3435e+02
1.2368e+03,1.3729e+02
1.2364e+03,1.4023e+02
1.2360e+03,1.4317e+02
1.2356e+03,1.4611e+02
1.2352e+03,1.4905e+02
1.2357e+03,1.5198e+02
1.2367e+03,1.5492e+02
1.2376e+03,1.5786e+02
1.2386e+03,1.6080e+02
1.2396e+03,1.6374e+02
1.2402e+03,1.6563e+02
1.2405e+03,1.6668e+02
1.2415e+03,1.6962e+02
1.2425e+03,1.7256e+02
1.2435e+03,1.7550e+02
1.2444e+03,1.7844e+02
1.2452e+03,1.8138e+02
1.2460e+03,1.8432e+02
1.2468e+03,1.8726e+02
1.2476e+03,1.9020e+02
1.2484e+03,1.9314e+02
1.2492e+03,1.9608e+02
1.2492e+03,1.9622e+02
1.2500e+03,1.9902e+02
1.2512e+03,2.0196e+02
1.2526e+03,2.0490e+02
1.2540e+03,2.0784e+02
1.2554e+03,2.1078e+02
1.2568e+03,2.1372e+02
1.2582e+03,2.1666e+02
1.2583e+03,2.1684e+02
1.2596e+03,2.1960e+02
1.2610e+03,2.2254e+02
1.2624e+03,2.2548e+02
1.2638e+03,2.2842e+02
1.2654e+03,2.3136e+02
1.2669e+03,2.3430e+02
1.2673e+03,2.3491e+02
1.2690e+03,2.3724e+02
1.2711e+03,2.4018e+02
1.2731e+03,2.4312e+02
1.2752e+03,2.4606e+02
