

# Contour value=0.67 
mPsiT_GeV,deltaM_GeV
1.4569e+03,3.7337e+01
1.4585e+03,3.4849e+01
1.4608e+03,3.2362e+01
1.4631e+03,2.9874e+01
1.4654e+03,2.7387e+01
1.4663e+03,2.6375e+01
1.4679e+03,2.4899e+01
1.4700e+03,2.2412e+01
1.4723e+03,1.9925e+01
1.4746e+03,1.7437e+01
1.4768e+03,1.4950e+01
1.4791e+03,1.2462e+01
1.4804e+03,1.1082e+01
1.4814e+03,9.9749e+00
1.4837e+03,7.4874e+00
1.4860e+03,5.0000e+00
