,
,
# Contour value=0.67 ,
mPsiT_GeV,deltaM_GeV
1029.2,389.9
1024.7,387.19
1019.6,384.47
1019.1,384.25
1013.8,381.76
1008.1,379.05
1005.5,377.85
1003,376.33
998.58,373.62
994.12,370.9
991.96,369.59
989.97,368.19
986.1,365.48
982.24,362.76
978.39,360.06
978.38,360.05
974.51,357.34
970.65,354.62
966.79,351.91
964.82,350.42
963.2,349.2
960.28,346.48
957.36,343.77
954.43,341.06
951.51,338.34
951.26,338.11
948.58,335.63
945.66,332.91
942.53,330.2
938.67,327.49
937.69,326.85
934.16,324.77
929.55,322.06
924.95,319.35
924.12,318.86
920.34,316.63
915.73,313.92
911.13,311.21
910.55,310.87
907.4,308.49
903.8,305.78
900.21,303.07
896.98,300.64
896.77,300.35
893.37,297.64
890.12,294.92
885.08,292.21
883.42,291.04
881.87,289.5
878.73,286.78
874.48,284.07
871.16,281.36
869.85,280.29
867.94,278.64
864.52,275.93
861.2,273.22
857.88,270.5
856.28,269.19
854.56,267.79
851.24,265.08
847.92,262.36
844.61,259.65
842.71,258.1
841.29,256.93
837.97,254.22
834.65,251.51
832.17,248.79
830.75,246.08
829.32,243.37
829.15,243.03
827.73,240.65
825.15,237.94
820.06,235.23
815.58,233.88
811.03,232.51
802.01,229.8
802,229.8
796.7,227.09
791.4,224.37
788.44,222.86
786.26,221.66
781.31,218.94
776.37,216.23
774.87,215.41
771.42,213.52
766.47,210.8
761.53,208.09
761.31,207.97
756.58,205.38
751.64,202.66
747.74,200.51
746.72,199.95
743.38,197.24
740.03,194.52
736.69,191.81
734.17,189.77
733.32,189.1
729.07,186.38
722.95,183.67
720.6,182.87
714.57,180.95
707.04,178.56
706.41,178.24
701.02,175.53
695.64,172.81
693.47,171.72
691.17,170.1
687.32,167.39
683.47,164.67
679.9,162.16
679.61,161.96
675.76,159.25
671.91,156.53
668.06,153.82
666.33,152.6
664.2,151.11
661.7,148.39
660.12,145.68
658.55,142.96
656.97,140.25
655.4,137.54
653.82,134.82
652.76,133.01
652.24,132.11
650.48,129.4
647.56,126.68
642.07,123.97
639.2,123.12
632.55,121.26
625.63,119.32
622.85,118.54
613.16,115.83
612.06,115.52
606.28,113.12
599.77,110.4
598.49,109.87
597.05,107.69
594.46,104.97
590.03,102.26
584.92,100.39
582.08,99.548
575.12,96.834
571.36,95.369
568.15,94.121
561.71,91.407
557.79,89.875
554.97,88.693
548.77,85.98
544.22,83.609
543.61,83.266
538.35,80.553
533.14,77.839
530.65,76.543
527.93,75.126
530.65,72.91
531.27,72.412
535.01,69.698
539.18,66.985
543.23,64.271
544.22,63.865
550.42,61.558
556.52,58.844
557.79,58.346
563.43,56.131
570.35,53.417
571.36,53.02
577.26,50.704
578.78,47.99
578.42,45.276
578.05,42.563
577.69,39.849
577.32,37.136
576.96,34.422
576.52,31.709
575.69,28.995
574.61,26.281
571.36,25.76
557.79,23.583
557.7,23.568
544.22,22.39
530.65,21.205
526.65,20.854
517.09,20.019
503.52,18.833
499.98,18.141
489.95,16.179
486.73,15.427
476.38,13.79
462.81,13.335
449.25,13.335
435.68,13.335
422.11,13.335
408.54,13.335
394.97,13.335
381.41,13.335
367.84,13.335
354.27,13.335
340.7,13.335
327.14,13.13
314.46,12.714
313.57,12.678
300,11.684
