

# Contour value=12.57 
mPsiT_GeV,deltaM_GeV
5.9248e+02,4.7673e+02
5.9320e+02,4.7945e+02
5.9392e+02,4.8216e+02
5.9463e+02,4.8487e+02
5.9535e+02,4.8759e+02
5.9607e+02,4.9030e+02
5.9679e+02,4.9302e+02
5.9751e+02,4.9573e+02
5.9823e+02,4.9844e+02
5.9849e+02,4.9944e+02
5.9897e+02,5.0116e+02
5.9973e+02,5.0387e+02
6.0049e+02,5.0658e+02
6.0125e+02,5.0930e+02
6.0201e+02,5.1201e+02
6.0277e+02,5.1472e+02
6.0353e+02,5.1744e+02
6.0430e+02,5.2015e+02
6.0506e+02,5.2286e+02
6.0582e+02,5.2558e+02
6.0658e+02,5.2829e+02
6.0734e+02,5.3101e+02
6.0810e+02,5.3372e+02
6.0886e+02,5.3643e+02
6.0962e+02,5.3915e+02
6.1039e+02,5.4186e+02
6.1115e+02,5.4457e+02
6.1191e+02,5.4729e+02
6.1206e+02,5.4783e+02
6.1267e+02,5.5000e+02
